date,Housing Inventory: Median Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2020-08-01,349000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-09-01,348250.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-10-01,334990.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-11-01,325000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2020-12-01,320000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-01-01,318000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-02-01,322494.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-03-01,324930.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-04-01,327000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-05-01,335000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-06-01,349000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-07-01,342450.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-08-01,343745.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-09-01,348495.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-10-01,365000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2021-11-01,366950.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2016-07-01,272000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-08-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-09-01,270168.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-10-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-11-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-12-01,269000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-01-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
