date,Housing Inventory: Active Listing Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-10-01,2.31,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2017-11-01,0.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2017-12-01,-0.01,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-01-01,-1.27,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-02-01,-2.38,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-03-01,4.94,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-04-01,7.84,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-05-01,6.94,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-06-01,8.87,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-07-01,13.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-08-01,-4.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-09-01,-0.75,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-10-01,8.61,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-11-01,12.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2018-12-01,18.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-01-01,22.65,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-02-01,24.45,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-03-01,25.73,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-04-01,28.19,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-05-01,26.77,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-06-01,23.84,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-07-01,17.78,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-08-01,14.99,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-09-01,11.82,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-10-01,4.69,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-11-01,-0.54,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2019-12-01,-3.95,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-01-01,-7.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-02-01,-10.54,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
2020-03-01,-14.38,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",ACTLISCOUYY12060,Monthly,Not Seasonally Adjusted
