date,All Employees: Retail Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1994-03-01,35.386365857173,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-04-01,35.493234794044206,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-05-01,35.609387732021496,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-06-01,35.696582243016294,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-07-01,35.830215173667604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-08-01,35.868574850584395,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-09-01,36.2068389212487,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-10-01,36.21689186632089,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-11-01,36.3375323275297,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1994-12-01,36.842430713054206,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-01-01,36.6072838824725,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-02-01,36.8623635923558,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-03-01,36.8714549162903,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-04-01,36.951134083917204,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-05-01,37.279357772842104,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-06-01,37.3335185059794,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-07-01,37.3741067171956,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-08-01,37.70169995488661,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-09-01,37.7710800966116,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-10-01,38.4768701148042,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-11-01,38.10208729201221,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1995-12-01,38.201113394634106,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-01-01,38.3751055941189,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-02-01,38.4364918177751,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-03-01,38.6476092645766,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-04-01,39.0228924048713,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-05-01,39.1379043505462,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-06-01,39.059276831374504,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-07-01,39.9011056599837,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-08-01,40.227112619736,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-09-01,40.4659651107037,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-10-01,40.3037405740777,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-11-01,40.6757371286602,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1996-12-01,40.3543690246076,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1997-01-01,40.6852995067761,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1997-02-01,40.543377829815704,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1997-03-01,40.5400806739738,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1997-04-01,40.155374909547604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
