date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
1995-01-01,4.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-02-01,4.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-03-01,4.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-04-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-05-01,4.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-06-01,4.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-07-01,4.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-08-01,4.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-09-01,4.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-10-01,4.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-11-01,4.7,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1995-12-01,4.7,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-01-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-02-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-03-01,4.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-04-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-05-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-06-01,5.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-07-01,5.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-08-01,5.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-09-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-10-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-11-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1996-12-01,4.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-01-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-02-01,4.7,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-03-01,4.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-04-01,4.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-05-01,4.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-06-01,4.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-07-01,4.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-08-01,4.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-09-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-10-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-11-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1997-12-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-01-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-02-01,4.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-03-01,4.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-04-01,4.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-05-01,4.7,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-06-01,4.7,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-07-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-08-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-09-01,4.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-10-01,4.7,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-11-01,4.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1998-12-01,4.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-01-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-02-01,4.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-03-01,4.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-04-01,4.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-05-01,4.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-06-01,4.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-07-01,3.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-08-01,3.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1999-09-01,3.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
