date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-12-01,14.24,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-01-01,14.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-02-01,12.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-03-01,9.86,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-04-01,11.02,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-05-01,11.31,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-06-01,9.17,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-07-01,8.06,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-08-01,9.53,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-09-01,9.7,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-10-01,12.83,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-11-01,14.36,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-07-01,6.82,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2017-08-01,7.42,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2017-09-01,7.45,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2017-10-01,8.06,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2017-11-01,8.53,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2017-12-01,9.31,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-01-01,10.09,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-02-01,10.18,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-03-01,11.19,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-04-01,11.11,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-05-01,10.89,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-06-01,10.34,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-07-01,9.79,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-08-01,8.68,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-09-01,8.31,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-10-01,8.09,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-11-01,8.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2018-12-01,8.39,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-01-01,8.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-02-01,4.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-03-01,3.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-04-01,7.31,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-05-01,6.83,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-06-01,6.82,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-07-01,6.49,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-08-01,6.73,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-09-01,7.08,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-10-01,6.43,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-11-01,6.55,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2019-12-01,5.92,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-01-01,5.22,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-02-01,8.59,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-03-01,8.08,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-04-01,2.38,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-05-01,3.28,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-06-01,6.19,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-07-01,10.92,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-08-01,15.53,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-09-01,19.19,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-10-01,20.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-11-01,21.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2020-12-01,23.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-01-01,24.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-02-01,27.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-03-01,25.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-04-01,26.82,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-05-01,26.54,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-06-01,23.61,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-07-01,21.79,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-08-01,16.73,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-09-01,14.55,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
2021-10-01,14.72,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEEYY12060,Monthly,Not Seasonally Adjusted
