date,All Employees: Government: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1994-09-01,28.4451608007966,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1994-10-01,28.3749672252993,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1994-11-01,28.630250192248003,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1994-12-01,28.7150063959479,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-01-01,28.6812707357294,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-02-01,28.980446725844,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-03-01,28.898651052319398,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-04-01,29.151291026623202,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-05-01,29.2511735456263,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-06-01,29.342408937817396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-07-01,29.1281171236907,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-08-01,29.3239894921575,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-09-01,29.968917394029997,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-10-01,29.906180934342498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-11-01,29.950543243724297,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1995-12-01,30.1587494955042,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-01-01,30.498947956034,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-02-01,30.584316267107,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-03-01,30.694248970485802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-04-01,30.437168476967102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-05-01,30.2261724492447,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-06-01,30.5725999120595,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-07-01,30.040546785286196,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-08-01,29.537798056013397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-09-01,29.5948924798661,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-10-01,29.446763398706498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-11-01,29.1860825562646,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1996-12-01,29.0875421623134,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-01-01,29.059834875706702,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-02-01,29.1858410260293,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-03-01,29.497648654832396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-04-01,29.723954409734898,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-05-01,30.5071941713867,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-06-01,30.2419142208856,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-07-01,30.263322839689003,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-08-01,30.2661601557163,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-09-01,30.3395608839466,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-10-01,30.3781224007287,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-11-01,30.596202543402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1997-12-01,30.693196134645902,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-01-01,30.845912890285398,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-02-01,30.77948325866,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-03-01,30.7680165845213,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-04-01,30.9645921666079,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-05-01,31.0918915159111,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-06-01,31.5965115408315,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-07-01,32.0018176446791,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-08-01,31.427280209901298,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-09-01,31.5003377298519,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-10-01,31.6165574962932,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-11-01,31.791221751515998,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1998-12-01,31.8547978486892,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-01-01,31.9140675187413,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-02-01,31.9647262273802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-03-01,31.9472276714088,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-04-01,31.9311338187011,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1999-05-01,31.893866570921602,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
