date,All Employees: Financial Activities,state,msa,city,title,id,frequency,seasonal_adjustment
1997-12-01,18.602828009001,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-01-01,18.593199689112502,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-02-01,18.7547854681013,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-03-01,18.5388659416229,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-04-01,18.3858102406698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-05-01,18.687118316333603,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-06-01,18.8351964813771,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-07-01,18.9437407053247,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-08-01,19.0720606883273,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-09-01,19.2670938074821,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-10-01,19.4995885756956,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-11-01,19.8148325493752,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1998-12-01,19.700034227827803,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
