date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
1997-10-01,4.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-11-01,5.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1997-12-01,6.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1998-01-01,8.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1998-02-01,8.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1998-03-01,7.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1998-04-01,4.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1998-05-01,4.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1998-06-01,4.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
1998-07-01,4.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Unemployment Rate in Bloomsburg-Berwick, PA (MSA)",LAUMT421410000000003,Monthly,Not Seasonally Adjusted
