date,Per Capita Personal Income,state,msa,city
1991-01-01,22438,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-01-01,23066,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-01-01,23096,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-01-01,23767,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-01-01,24723,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-01-01,25937,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-01-01,27075,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-01-01,29210,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-01-01,30172,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,31831,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-01-01,33224,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-01-01,33880,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-01-01,35025,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-01-01,36790,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-01-01,39021,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-01-01,42329,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-01-01,43842,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-01-01,45174,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-01-01,42101,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-01-01,42842,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-01-01,44423,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1969-01-01,4698,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1970-01-01,4945,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1971-01-01,5241,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1972-01-01,5660,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1973-01-01,6243,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1974-01-01,6842,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1975-01-01,7315,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1976-01-01,8009,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1977-01-01,8825,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1978-01-01,9757,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1979-01-01,10714,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1980-01-01,11694,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1981-01-01,12892,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1982-01-01,13613,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1983-01-01,14299,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1984-01-01,15628,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1985-01-01,16469,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1986-01-01,17415,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1987-01-01,18525,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1988-01-01,20160,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1989-01-01,21289,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1990-01-01,22627,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1991-01-01,22900,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1992-01-01,24384,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1993-01-01,25059,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1994-01-01,26118,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1995-01-01,27662,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1996-01-01,29096,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1997-01-01,30614,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1998-01-01,32414,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
1999-01-01,33723,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2000-01-01,36130,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2001-01-01,37036,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2002-01-01,37262,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2003-01-01,37798,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2004-01-01,39129,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2005-01-01,40991,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2006-01-01,43706,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2007-01-01,46104,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2008-01-01,46679,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
