date,All Employees: Government: Federal Government,state,msa,city
2005-03-01,133.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-04-01,133.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-05-01,134.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-06-01,134.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-07-01,134.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-08-01,134.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-09-01,133.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-10-01,133.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-11-01,133.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-12-01,133.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-01-01,132.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-02-01,131.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-03-01,131.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-04-01,131.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-05-01,131.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-06-01,131.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-07-01,131.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-08-01,131.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-09-01,131.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-10-01,133.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-11-01,134.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-12-01,134.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-01-01,134.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-02-01,133.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-03-01,132.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-04-01,132.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-05-01,133.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-06-01,133.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-07-01,131.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
