date,Housing Inventory: Pending Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2019-10-01,1699.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-11-01,1689.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2019-12-01,1436.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-01-01,1330.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-02-01,1894.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-03-01,2077.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-04-01,1800.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-05-01,2237.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-06-01,2723.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-07-01,2746.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-08-01,2697.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-09-01,2697.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-10-01,2497.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-11-01,2414.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2020-12-01,2149.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-01-01,2012.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-02-01,2400.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-03-01,2533.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-04-01,2619.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-05-01,2544.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-06-01,2376.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-07-01,2200.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-08-01,2150.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-09-01,2162.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-10-01,2111.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2021-11-01,1957.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count in Charleston-North Charleston, SC (CBSA)",PENLISCOU16700,Monthly,Not Seasonally Adjusted
2016-07-01,16.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2016-08-01,8.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2016-09-01,667.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2016-10-01,647.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2016-11-01,625.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2016-12-01,551.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-01-01,507.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-02-01,597.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-03-01,794.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-04-01,951.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-05-01,962.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-06-01,914.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-07-01,820.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-08-01,769.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-09-01,719.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-10-01,703.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-11-01,683.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2017-12-01,623.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-01-01,628.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
2018-02-01,778.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Pending Listing Count in Charlottesville, VA (CBSA)",PENLISCOU16820,Monthly,Not Seasonally Adjusted
