date,Average Hourly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2016-02-01,21.062718924686802,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-03-01,21.078034107907,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-04-01,21.4965590706706,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-05-01,21.115063397709104,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-06-01,21.4894563792032,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-07-01,21.524440464547,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-08-01,22.1535323699819,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-09-01,21.1591608961266,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-10-01,21.2977839701955,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
2016-11-01,21.3321378523449,ID,"Lewiston, ID-WA",Lewiston,"Average Hourly Earnings of All Employees: Total Private in Lewiston, ID-WA (MSA)",SMU16303000500000003SA,Monthly,Seasonally Adjusted
