date,Housing Inventory: Active Listing Count,state,msa,city
2017-02-01,31314.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-03-01,32898.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-04-01,33137.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-05-01,35015.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-06-01,36431.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-07-01,37835.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-08-01,38715.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-09-01,38228.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-10-01,38117.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-11-01,35018.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-12-01,30420.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,27410.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-02-01,27874.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-03-01,29483.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-04-01,31497.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-05-01,33604.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-06-01,36277.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-07-01,38396.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-08-01,39499.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-09-01,40189.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-10-01,39937.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-11-01,37571.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-12-01,32888.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,30040.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-02-01,30361.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-03-01,32150.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-04-01,34125.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-05-01,36370.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-06-01,38444.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-07-01,39922.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-08-01,40311.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-09-01,40478.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-10-01,40147.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-11-01,36884.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-12-01,31631.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,28727.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-02-01,29189.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-03-01,29677.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-04-01,28345.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-05-01,28171.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-06-01,28064.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-07-01,27100.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
