date,All Employees: Government: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1994-03-01,2.66648582403186,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-04-01,2.52492777609606,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-05-01,2.3406877983666203,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-06-01,2.55069144032218,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-07-01,2.60479108013799,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-08-01,2.5515792536254103,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-09-01,2.49669135661741,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-10-01,2.60004469018545,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-11-01,2.5773393516992598,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1994-12-01,2.65024580303482,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-01-01,2.16436208563279,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-02-01,2.5624481693338503,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-03-01,2.56643419441022,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-04-01,2.61131836800115,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-05-01,2.5405596016715295,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-06-01,2.67988294473452,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-07-01,2.60979999068359,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-08-01,2.56432526395495,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-09-01,2.68343577734876,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-10-01,2.5989075404098196,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-11-01,2.57227065759355,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1995-12-01,2.56420426518215,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-01-01,2.2331564803729598,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-02-01,2.56209204090931,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-03-01,2.57683068803979,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-04-01,2.59546885780942,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-05-01,2.63577202177776,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-06-01,2.60826180739606,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-07-01,2.51266694004435,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-08-01,2.57415609948842,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-09-01,2.67364772734657,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-10-01,2.6002042097307996,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-11-01,2.66112556213898,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1996-12-01,2.68982910810296,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1997-01-01,2.6956038512745897,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1997-02-01,2.66182325406093,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
1997-03-01,2.69468007795035,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government: State Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009092000001SA,Monthly,Seasonally Adjusted
