date,All Employees: Government,state,msa,city,title,id,frequency,seasonal_adjustment
1995-09-01,5.71503807126155,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-10-01,5.60900638817743,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-11-01,5.64063294626328,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1995-12-01,5.55061438422811,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-01-01,5.3242871799568094,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-02-01,5.56449810496722,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-03-01,5.57861269512362,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-04-01,5.63340775336474,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-05-01,5.776325288564499,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-06-01,5.6058621588605595,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-07-01,5.397659135177371,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-08-01,5.5253452547213,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-09-01,5.71744109443182,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-10-01,5.61562399889724,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-11-01,5.6348043830352195,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1996-12-01,5.68262406184753,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1997-01-01,5.75309167414726,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1997-02-01,5.7477796277766595,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1997-03-01,5.795762146863931,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
