date,All Employees: Federal Government,state,msa,city
1997-04-01,71.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-05-01,71.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-06-01,71.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-07-01,71.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-08-01,71.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-09-01,71.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-10-01,69.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-11-01,69.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-12-01,71.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-01-01,68.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-02-01,67.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-03-01,67.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-04-01,68.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-05-01,68.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-06-01,68.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-07-01,69.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-08-01,70.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-09-01,70.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-10-01,70.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-11-01,70.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-12-01,72.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-01-01,69.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-02-01,69.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-03-01,69.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-04-01,75.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-05-01,69.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-06-01,69.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-07-01,68.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-08-01,68.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-09-01,69.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-10-01,68.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-11-01,68.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-12-01,71.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,68.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-02-01,69.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-03-01,70.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-04-01,72.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-05-01,90.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-06-01,69.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-07-01,71.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-08-01,68.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-09-01,67.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-10-01,67.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-11-01,67.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-12-01,68.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-01-01,67.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-02-01,66.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-03-01,66.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-04-01,66.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-05-01,65.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-06-01,65.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
