date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2019-06-01,334850.4392,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2019-07-01,332795.9918,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2019-08-01,324634.8009,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2019-09-01,316746.9535,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2019-10-01,316418.1224,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2019-11-01,316620.7129,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2019-12-01,317743.0422,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-01-01,330547.4,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-02-01,338460.7955,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-03-01,337120.3583,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-04-01,336716.2519,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-05-01,357986.7366,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-06-01,368927.1105,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-07-01,375886.6731,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-08-01,365246.4902,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
2020-09-01,366612.9848,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Average Listing Price in Lincoln, NE (CBSA)",AVELISPRI30700,Monthly,Not Seasonally Adjusted
