date,All Employees: Health Care and Social Assistance,state,msa,city
2012-07-01,698.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-08-01,701.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-09-01,703.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-10-01,736.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-11-01,737.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-12-01,742.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-01-01,738.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-02-01,741.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-03-01,744.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-04-01,739.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-05-01,739.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-06-01,739.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-07-01,754.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-08-01,757.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-09-01,758.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-10-01,762.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-11-01,765.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-12-01,766.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-01-01,765.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-02-01,767.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-03-01,771.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-04-01,773.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-05-01,776.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-06-01,777.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-07-01,774.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-08-01,777.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-09-01,779.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-10-01,786.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-11-01,791.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-12-01,797.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-01-01,393.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-01-01,398.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-01-01,402.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-01-01,404.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-01-01,410.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-01-01,414.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-01-01,430.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-01-01,439.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-01-01,454.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-01-01,464.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,473.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-01-01,497.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-01-01,523.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-01-01,549.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-01-01,570.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-01-01,588.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-01-01,604.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-01-01,621.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-01-01,648.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-01-01,667.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-01-01,668.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-01-01,672.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-01-01,707.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-01-01,750.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-01-01,392.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-02-01,392.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-03-01,391.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-04-01,392.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-05-01,391.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-06-01,393,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-07-01,393.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-08-01,393.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-09-01,392.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-10-01,394,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-11-01,395.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-12-01,394.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-01-01,394.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-02-01,394.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-03-01,393.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-04-01,398.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-05-01,399.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-06-01,399.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-07-01,397.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-08-01,398,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-09-01,396.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-10-01,402.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-11-01,405,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-12-01,403.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-01-01,400.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-02-01,400.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-03-01,401.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-04-01,402.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-05-01,403.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-06-01,403.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-07-01,405,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-08-01,405.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-09-01,404.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-10-01,403.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-11-01,402.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-12-01,401.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-01-01,407.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-02-01,405.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-03-01,403.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-04-01,400.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-05-01,399.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-06-01,400.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-07-01,404.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-08-01,404.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-09-01,405.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-10-01,405.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-11-01,406.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-12-01,407.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
