date,Housing Inventory: Median Listing Price Month-Over-Month,state,msa,city
2018-02-01,1.65,NJ,"Trenton-Princeton, NJ",Trenton
2018-03-01,12.41,NJ,"Trenton-Princeton, NJ",Trenton
2018-04-01,8.77,NJ,"Trenton-Princeton, NJ",Trenton
2018-05-01,10.03,NJ,"Trenton-Princeton, NJ",Trenton
2018-06-01,1.19,NJ,"Trenton-Princeton, NJ",Trenton
2018-07-01,-0.59,NJ,"Trenton-Princeton, NJ",Trenton
2018-08-01,-2.23,NJ,"Trenton-Princeton, NJ",Trenton
2018-09-01,-2.91,NJ,"Trenton-Princeton, NJ",Trenton
2018-10-01,-0.77,NJ,"Trenton-Princeton, NJ",Trenton
2018-11-01,-0.95,NJ,"Trenton-Princeton, NJ",Trenton
2018-12-01,-4.91,NJ,"Trenton-Princeton, NJ",Trenton
2019-01-01,-3.09,NJ,"Trenton-Princeton, NJ",Trenton
2019-02-01,3.54,NJ,"Trenton-Princeton, NJ",Trenton
2019-03-01,8.67,NJ,"Trenton-Princeton, NJ",Trenton
2019-04-01,6.96,NJ,"Trenton-Princeton, NJ",Trenton
2019-05-01,8.82,NJ,"Trenton-Princeton, NJ",Trenton
2019-06-01,1.46,NJ,"Trenton-Princeton, NJ",Trenton
2019-07-01,-2.4,NJ,"Trenton-Princeton, NJ",Trenton
2019-08-01,-1.03,NJ,"Trenton-Princeton, NJ",Trenton
2019-09-01,1.24,NJ,"Trenton-Princeton, NJ",Trenton
2019-10-01,-1.14,NJ,"Trenton-Princeton, NJ",Trenton
2019-11-01,-5.99,NJ,"Trenton-Princeton, NJ",Trenton
2019-12-01,-2.11,NJ,"Trenton-Princeton, NJ",Trenton
2020-01-01,-0.76,NJ,"Trenton-Princeton, NJ",Trenton
2020-02-01,5.88,NJ,"Trenton-Princeton, NJ",Trenton
2020-03-01,7.72,NJ,"Trenton-Princeton, NJ",Trenton
2020-04-01,-1.34,NJ,"Trenton-Princeton, NJ",Trenton
2020-05-01,4.55,NJ,"Trenton-Princeton, NJ",Trenton
2020-06-01,5.73,NJ,"Trenton-Princeton, NJ",Trenton
2020-07-01,0.52,NJ,"Trenton-Princeton, NJ",Trenton
2020-08-01,0.94,NJ,"Trenton-Princeton, NJ",Trenton
2020-09-01,0.21,NJ,"Trenton-Princeton, NJ",Trenton
2020-10-01,-1.14,NJ,"Trenton-Princeton, NJ",Trenton
2020-11-01,-2.48,NJ,"Trenton-Princeton, NJ",Trenton
2020-12-01,-1.1,NJ,"Trenton-Princeton, NJ",Trenton
2021-01-01,-4.88,NJ,"Trenton-Princeton, NJ",Trenton
2021-02-01,3.74,NJ,"Trenton-Princeton, NJ",Trenton
2021-03-01,1.36,NJ,"Trenton-Princeton, NJ",Trenton
2021-04-01,-2.45,NJ,"Trenton-Princeton, NJ",Trenton
2021-05-01,3.76,NJ,"Trenton-Princeton, NJ",Trenton
2021-06-01,-9.01,NJ,"Trenton-Princeton, NJ",Trenton
2021-07-01,-0.16,NJ,"Trenton-Princeton, NJ",Trenton
