date,Housing Inventory: Median Days on Market Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2021-02-01,-58.1081081,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-03-01,-45.1612903,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-04-01,5.8823529,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-05-01,-11.1111111,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-06-01,12.5,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-07-01,55.5555556,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-08-01,3.5714286,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-09-01,27.5862069,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-10-01,18.9189189,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2021-11-01,9.0909091,UT,"Ogden-Clearfield, UT",Ogden,"Housing Inventory: Median Days on Market Month-Over-Month in Ogden-Clearfield, UT (CBSA)",MEDDAYONMARMM36260,Monthly,Not Seasonally Adjusted
2017-07-01,-3.7974684,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2017-08-01,1.3157895,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2017-09-01,24.6753247,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2017-10-01,15.625,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2017-11-01,3.6036036,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2017-12-01,0.8695652,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-01-01,4.3103448,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
2018-02-01,-15.7024793,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Median Days on Market Month-Over-Month in Pueblo, CO (CBSA)",MEDDAYONMARMM39380,Monthly,Not Seasonally Adjusted
