date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2020-02-01,2.5,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-03-01,-0.68,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-04-01,-4.57,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-05-01,-3.75,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-06-01,-4.1,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-07-01,-6.71,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-08-01,-6.61,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-09-01,-5.68,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-10-01,-4.44,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-11-01,-3.8,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2020-12-01,-3.12,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-01-01,0.17,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-02-01,8.08,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-03-01,11.05,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-04-01,12.07,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-05-01,16.08,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-06-01,20.6,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-07-01,26.72,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-08-01,25.44,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-09-01,23.87,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-10-01,18.97,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2021-11-01,18.76,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach
2017-07-01,4.51,NJ,"Trenton-Princeton, NJ",Trenton
2017-08-01,5.52,NJ,"Trenton-Princeton, NJ",Trenton
2017-09-01,5.27,NJ,"Trenton-Princeton, NJ",Trenton
2017-10-01,2.95,NJ,"Trenton-Princeton, NJ",Trenton
2017-11-01,21.93,NJ,"Trenton-Princeton, NJ",Trenton
2017-12-01,0.86,NJ,"Trenton-Princeton, NJ",Trenton
2018-01-01,-0.35,NJ,"Trenton-Princeton, NJ",Trenton
2018-02-01,-0.73,NJ,"Trenton-Princeton, NJ",Trenton
2018-03-01,2.02,NJ,"Trenton-Princeton, NJ",Trenton
2018-04-01,4.45,NJ,"Trenton-Princeton, NJ",Trenton
2018-05-01,5.83,NJ,"Trenton-Princeton, NJ",Trenton
2018-06-01,2.31,NJ,"Trenton-Princeton, NJ",Trenton
2018-07-01,2.72,NJ,"Trenton-Princeton, NJ",Trenton
2018-08-01,2.97,NJ,"Trenton-Princeton, NJ",Trenton
2018-09-01,3.4,NJ,"Trenton-Princeton, NJ",Trenton
2018-10-01,6.11,NJ,"Trenton-Princeton, NJ",Trenton
2018-11-01,-10.53,NJ,"Trenton-Princeton, NJ",Trenton
2018-12-01,8.88,NJ,"Trenton-Princeton, NJ",Trenton
2019-01-01,11.77,NJ,"Trenton-Princeton, NJ",Trenton
2019-02-01,15.61,NJ,"Trenton-Princeton, NJ",Trenton
2019-03-01,12.2,NJ,"Trenton-Princeton, NJ",Trenton
