date,Housing Inventory: Median Days on Market Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2020-01-01,-18.4782609,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-02-01,-8.974359,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-03-01,-32.0512821,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-04-01,-21.7687075,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-05-01,0.7194245,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-06-01,10.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-07-01,-21.8543046,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-08-01,-27.8481013,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-09-01,-36.7088608,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-10-01,-43.2258065,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-11-01,-30.2816901,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2020-12-01,-17.1232877,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-01-01,-12.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-02-01,-35.915493,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-03-01,-38.6792453,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-04-01,-33.9130435,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-05-01,-54.2857143,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-06-01,-61.038961,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-07-01,-46.6101695,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-08-01,-37.7192982,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-09-01,-17.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-10-01,-2.2727273,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2021-11-01,-7.0707071,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Days on Market Year-Over-Year in Gainesville, GA (CBSA)",MEDDAYONMARYY23580,Monthly,Not Seasonally Adjusted
2017-07-01,-3.7735849,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2017-08-01,-1.8348624,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2017-09-01,9.4017094,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2017-10-01,11.2903226,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2017-11-01,3.125,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2017-12-01,-1.4084507,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-01-01,0.6849315,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-02-01,4.8780488,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
2018-03-01,-2.970297,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Median Days on Market Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",MEDDAYONMARYY26420,Monthly,Not Seasonally Adjusted
