date,All Employees: Wholesale Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1993-09-01,3.50157229404576,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-10-01,3.56286577090652,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-11-01,3.52143195079183,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1993-12-01,3.5864342542495096,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-01-01,3.4257191889964402,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-02-01,3.4608867233273797,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-03-01,3.53955862143685,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-04-01,3.52988519503125,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-05-01,3.59887529984603,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-06-01,3.55133766407894,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-07-01,3.62615195663213,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-08-01,3.58929812356884,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-09-01,3.60373824560823,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1994-10-01,3.6735975141495403,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
