date,All Employees: Education and Health Services,state,msa,city,title,id,frequency,seasonal_adjustment
1993-11-01,7.20115903657689,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1993-12-01,7.163965683751201,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-01-01,7.215620316085451,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-02-01,7.24222000748368,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-03-01,7.33942902461649,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-04-01,7.569306369471481,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-05-01,7.483128735257349,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-06-01,7.470500969561111,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-07-01,7.7224232766803205,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-08-01,7.82462957148659,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-09-01,7.618005068068349,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-10-01,7.539336465707559,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-11-01,7.507582843986611,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1994-12-01,7.564683935856251,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-01-01,7.62882248915478,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-02-01,7.45618830906441,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-03-01,7.626945594653059,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-04-01,7.666553336835429,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-05-01,7.57566266712677,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-06-01,7.67053076666651,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-07-01,7.513703468725621,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-08-01,7.60945403028345,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-09-01,7.6370054200559006,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-10-01,7.542133211096361,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-11-01,7.509836175645809,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1995-12-01,7.66741179902429,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-01-01,7.53178087562603,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-02-01,7.552006808447,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-03-01,7.615768032620981,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-04-01,7.5736268952959405,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-05-01,7.57965573708647,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-06-01,7.46676513351398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-07-01,7.31254632693959,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-08-01,7.40238477973966,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-09-01,7.359845181200019,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-10-01,7.33225010734663,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-11-01,7.40869726264664,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1996-12-01,7.37033876626628,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-01-01,7.33123669488627,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-02-01,7.342051264018989,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-03-01,7.30511830234397,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-04-01,7.2809852085222495,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-05-01,7.38850165502172,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-06-01,7.3643464096304,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-07-01,7.5048247268163,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-08-01,7.50744182917431,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-09-01,7.48872161009112,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-10-01,7.6193699127673495,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-11-01,7.60058475232126,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1997-12-01,7.47561938251196,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-01-01,7.5227813552422305,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-02-01,7.52746245630817,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-03-01,7.50096380496339,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-04-01,7.49331273073107,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-05-01,8.00079001240566,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-06-01,7.4574284650533,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-07-01,7.694806355299111,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-08-01,7.61886180004386,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-09-01,7.609633857218549,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-10-01,7.60556700401906,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-11-01,7.59397509625519,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1998-12-01,7.580933241503559,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-01-01,7.6152122437940895,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-02-01,7.61711958239553,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-03-01,7.597942590891059,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-04-01,7.60578403040429,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-05-01,7.41489555024802,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-06-01,7.5509006769058,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-07-01,7.47839482895508,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-08-01,7.424401391401401,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-09-01,7.41733848013301,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-10-01,7.505718732758861,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-11-01,7.394452617251401,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1999-12-01,7.485159173634861,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
2000-01-01,7.5068022503662,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
2000-02-01,7.51205381526774,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
2000-03-01,7.49702165754186,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
