date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-10-01,-2.74,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2017-11-01,-5.28,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2017-12-01,-6.51,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-01-01,-9.94,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-02-01,-7.28,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-03-01,4.05,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-04-01,0.46,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-05-01,2.73,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-06-01,13.97,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-07-01,9.34,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-08-01,10.32,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-09-01,5.32,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-10-01,-1.23,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-11-01,-4.03,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2018-12-01,-7.92,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-01-01,-7.37,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-02-01,-3.41,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-03-01,-4.9,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-04-01,-7.01,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-05-01,-7.76,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-06-01,3.37,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-07-01,6.51,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-08-01,1.97,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-09-01,7.71,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-10-01,6.96,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-11-01,-12.08,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2019-12-01,-12.26,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-01-01,-7.47,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-02-01,-12.5,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-03-01,-9.23,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
2020-04-01,7.54,CO,"Pueblo, CO",Pueblo,"Housing Inventory: Active Listing Count Month-Over-Month in Pueblo, CO (CBSA)",ACTLISCOUMM39380,Monthly,Not Seasonally Adjusted
