date,All Employees: Accommodation and Food Services,state,msa,city
1994-01-01,383.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-01-01,394.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-01-01,400.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-01-01,412.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-01-01,423.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-01-01,433.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-01-01,445.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,452.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,452.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-01-01,466.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-01-01,478.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-01-01,487.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-01-01,499.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-01-01,516.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,525.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,523.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,543.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,571.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,601.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,626.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-01-01,408.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-02-01,406.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-03-01,406.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-04-01,404.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-05-01,405.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-06-01,405.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-07-01,403.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-08-01,403,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-09-01,400.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-10-01,394.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-11-01,393.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-12-01,392.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,385.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-02-01,383.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-03-01,382.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
