date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
2000-01-01,62.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2001-01-01,63.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2002-01-01,62.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2003-01-01,57.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2004-01-01,58.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2005-01-01,58.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2006-01-01,58.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2007-01-01,58.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2008-01-01,58.2,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2009-01-01,57.2,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2010-01-01,57.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2011-01-01,57.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2012-01-01,58.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2013-01-01,57.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2014-01-01,57.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2015-01-01,57.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2016-01-01,56.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
2017-01-01,55.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
