date,Regional Price Parities,state,msa,city,title,id,frequency,seasonal_adjustment
2010-01-01,91.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2011-01-01,90.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2012-01-01,90.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2013-01-01,89.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2014-01-01,89.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2015-01-01,90.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2016-01-01,90.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2017-01-01,90.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2018-01-01,90.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2019-01-01,90.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2008-01-01,101.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2009-01-01,101.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2010-01-01,100.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2011-01-01,100.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2012-01-01,100.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2013-01-01,99.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2014-01-01,99.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2015-01-01,99.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2016-01-01,99.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2017-01-01,100.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2018-01-01,100.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2019-01-01,101.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2008-01-01,99.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2009-01-01,99.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2010-01-01,98.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2011-01-01,98.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2012-01-01,97.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
2013-01-01,97.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"Regional Price Parities: All Items for Detroit-Warren-Dearborn, MI (MSA)",RPPALL19820,Annual,Not Seasonally Adjusted
