date,All Employees: Retail Trade: Department Stores,state,msa,city,title,id,frequency,seasonal_adjustment
1997-02-01,33.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-03-01,33.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-04-01,34.0,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-05-01,34.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-06-01,33.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-07-01,33.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-08-01,33.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-09-01,33.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-10-01,32.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-11-01,32.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1997-12-01,32.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-01-01,33.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-02-01,32.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-03-01,32.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-04-01,32.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-05-01,32.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-06-01,32.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-07-01,32.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-08-01,32,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-09-01,32.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-10-01,32.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-11-01,32.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1998-12-01,33.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-01-01,32.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1999-02-01,32.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
