date,Average Weekly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2019-01-01,1004.7601127536699,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-02-01,991.328898794671,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-03-01,1013.4802740660001,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-04-01,986.877053604349,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-05-01,1025.89480635447,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-06-01,1030.44159664248,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-07-01,1025.68048533717,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-08-01,1024.14531057433,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-09-01,1059.27280372019,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-10-01,1037.64177767545,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-11-01,1031.04688778065,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2019-12-01,1057.5472046427099,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-01-01,1039.8374475786,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-02-01,1072.42841456466,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-03-01,1059.40563288712,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-04-01,1149.94541681739,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-05-01,1176.20518002379,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-06-01,1140.42227985032,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-07-01,1130.3581237008,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-08-01,1133.6776363218198,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-09-01,1143.5323532451598,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-10-01,1133.28503988558,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-11-01,1197.80172136159,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2020-12-01,1153.9707494510199,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-01-01,1178.00966048955,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-02-01,1168.96501549586,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-03-01,1167.88022295431,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-04-01,1176.47415200182,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
2021-05-01,1167.6137392281,NJ,"Trenton-Princeton, NJ",Trenton,"Average Weekly Earnings of All Employees: Total Private in Trenton, NJ (MSA)",SMU34459400500000011SA,Monthly,Seasonally Adjusted
