date,All Employees: Leisure and Hospitality,state,msa,city,title,id,frequency,seasonal_adjustment
1993-09-01,2.8081362738317597,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-10-01,2.5669417482091497,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-11-01,2.7193162062721004,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1993-12-01,2.8483198450965697,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-01-01,2.72066800025797,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-02-01,2.72236019575329,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-03-01,2.88313741112862,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-04-01,2.88367422979617,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-05-01,2.9165319372698097,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-06-01,2.83583320061537,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-07-01,2.81924496643977,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-08-01,2.8690879531231803,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-09-01,2.90528606981462,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-10-01,2.9739689643552594,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-11-01,2.9101849109253104,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1994-12-01,3.04548811788675,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-01-01,3.0352391443517703,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1995-02-01,3.0315027451592402,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
