date,All Employees: Professional and Business Services,state,msa,city,title,id,frequency,seasonal_adjustment
1991-02-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-03-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-04-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-05-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-06-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-07-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-08-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-09-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-10-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-11-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-12-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-01-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-02-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-03-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-04-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-05-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-06-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-07-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
