date,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2018-02-01,0.92,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-03-01,1.13,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-04-01,-0.67,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-05-01,-0.29,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-06-01,-0.55,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-07-01,0.27,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-08-01,0.38,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-09-01,0.57,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-10-01,0.08,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
2018-11-01,0.49,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEEMM16820,Monthly,Not Seasonally Adjusted
