date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-08-01,260.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2016-09-01,292.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2016-10-01,260.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2016-11-01,172.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2016-12-01,92.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-01-01,140.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-02-01,164.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-03-01,216.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-04-01,288.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-05-01,368.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-06-01,368.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-07-01,256.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-08-01,288.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-09-01,304.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-10-01,324.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
2017-11-01,328.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Price Reduced Count in Charlottesville, VA (CBSA)",PRIREDCOU16820,Monthly,Not Seasonally Adjusted
