date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-06-01,-16.26,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2019-07-01,-2.82,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2019-08-01,-21.43,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2019-09-01,-15.46,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2019-10-01,-24.64,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2019-11-01,11.45,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2019-12-01,-9.41,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-01-01,-2.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-02-01,-31.09,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-03-01,-33.04,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-04-01,-24.14,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-05-01,-33.1,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-06-01,-48.24,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
2020-07-01,-49.42,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Reduced Count Year-Over-Year in Gainesville, GA (CBSA)",PRIREDCOUYY23580,Monthly,Not Seasonally Adjusted
