date,Average Weekly Hours of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2015-06-01,35.1277220303068,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2015-07-01,35.1693208786036,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2015-08-01,36.06931197352571,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2015-09-01,35.0975100793407,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2015-10-01,35.22126655276,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2015-11-01,35.874024722281796,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2015-12-01,35.2086295048774,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2016-01-01,35.3411185597584,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2016-02-01,35.0883974529199,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2016-03-01,35.0564558347579,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2016-04-01,35.079211599017704,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
2016-05-01,35.8723798247621,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"Average Weekly Hours of All Employees: Total Private in Los Angeles-Long Beach-Anaheim, CA (MSA)",SMU06310800500000002SA,Monthly,Seasonally Adjusted
