date,All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
1995-05-01,31.363092003744196,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-06-01,31.2500385969081,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-07-01,31.1872462844485,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-08-01,31.3466497307044,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-09-01,31.2878875404576,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-10-01,31.1790914522763,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-11-01,30.941420163343896,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1995-12-01,31.0182709792961,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-01-01,30.559861751610498,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-02-01,30.6797497576967,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-03-01,30.7245998609684,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-04-01,29.8397934102511,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-05-01,29.7599831306647,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-06-01,29.6405385360056,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-07-01,29.3770568428036,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-08-01,29.4405246281132,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-09-01,29.3513978999497,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-10-01,29.3865797727794,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-11-01,29.5724922671164,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1996-12-01,29.526014681343398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-01-01,29.677334009847197,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-02-01,30.0217794259248,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-03-01,29.5800866365102,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-04-01,29.6161829944073,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-05-01,29.6719839709784,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-06-01,29.4328375942673,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-07-01,30.157804288538898,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-08-01,30.149132599072498,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-09-01,30.444468685950103,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-10-01,30.699534118398105,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-11-01,30.1829355000272,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1997-12-01,30.3544471931114,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-01-01,30.5561630680653,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-02-01,30.8405833667445,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-03-01,30.846943339265398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-04-01,30.899309201016997,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-05-01,31.608052801632198,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-06-01,31.049122425657398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-07-01,31.022832033591104,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-08-01,30.933139542221,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-09-01,31.2053215372714,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-10-01,31.525026502579898,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-11-01,31.8096684048023,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1998-12-01,31.912742509115898,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-01-01,31.719932730360497,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-02-01,31.8716075275217,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-03-01,32.0052227498084,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-04-01,31.9874250386192,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-05-01,32.035696254251,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-06-01,32.1551819463407,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-07-01,32.3005280356177,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-08-01,32.313905394858104,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-09-01,32.0432731511104,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-10-01,33.346998335184495,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-11-01,32.3388262891314,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1999-12-01,33.2772324909949,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
2000-01-01,32.4711264755347,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
2000-02-01,32.537851732747,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
2000-03-01,32.4692043694141,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
2000-04-01,32.6936762349954,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
2000-05-01,32.656808968540204,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
2000-06-01,32.566243584339496,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
