date,Housing Inventory: Price Increased Count,state,msa,city,title,id,frequency,seasonal_adjustment
2020-02-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-03-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-04-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-05-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-06-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-07-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-08-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-09-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-10-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-11-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2020-12-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-01-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-02-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-03-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-04-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-05-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-06-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-07-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-08-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-09-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-10-01,4.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2021-11-01,0.0,ID,"Lewiston, ID-WA",Lewiston,"Housing Inventory: Price Increased Count in Lewiston, ID-WA (CBSA)",PRIINCCOU30300,Monthly,Not Seasonally Adjusted
2016-07-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2016-08-01,20.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2016-09-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2016-10-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2016-11-01,4.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2016-12-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-01-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-02-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-03-01,24.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-04-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-05-01,24.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-06-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-07-01,0.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-08-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-09-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-10-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-11-01,0.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2017-12-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-01-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-02-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-03-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-04-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-05-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-06-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-07-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-08-01,20.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-09-01,4.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-10-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-11-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2018-12-01,4.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-01-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-02-01,4.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-03-01,100.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-04-01,104.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-05-01,20.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-06-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-07-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-08-01,24.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-09-01,52.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-10-01,16.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-11-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2019-12-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-01-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-02-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
2020-03-01,12.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Increased Count in Lincoln, NE (CBSA)",PRIINCCOU30700,Monthly,Not Seasonally Adjusted
