date,Housing Inventory: Median Listing Price Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2019-03-01,-1.69,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-04-01,-7.17,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-05-01,-7.14,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-06-01,-13.77,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-07-01,-12.3,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-08-01,-14.06,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-09-01,-14.76,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-10-01,-7.73,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-11-01,-3.61,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2019-12-01,-3.85,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-01-01,-7.56,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-02-01,-6.4,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-03-01,-0.16,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-04-01,3.11,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
2020-05-01,5.38,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Median Listing Price Year-Over-Year in Gainesville, GA (CBSA)",MEDLISPRIYY23580,Monthly,Not Seasonally Adjusted
