date,Housing Inventory: Pending Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2018-11-01,-0.38,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-12-01,-10.94,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-01-01,-6.11,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-02-01,34.97,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-03-01,15.25,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-04-01,8.36,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-05-01,5.72,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-06-01,-3.01,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-07-01,-8.37,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-08-01,-4.78,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-09-01,-10.55,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-10-01,-3.63,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-11-01,-0.59,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2019-12-01,-14.98,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-01-01,-7.38,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-02-01,42.41,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-03-01,9.66,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-04-01,-13.34,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-05-01,24.28,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-06-01,21.73,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-07-01,0.84,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-08-01,-1.78,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-09-01,0.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-10-01,-7.42,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-11-01,-3.32,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2020-12-01,-10.98,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-01-01,-6.38,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-02-01,19.28,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-03-01,5.54,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-04-01,3.4,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-05-01,-2.86,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-06-01,-6.6,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-07-01,-7.41,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-08-01,-2.27,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-09-01,0.56,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-10-01,-2.36,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2021-11-01,-7.3,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
