date,Housing Inventory: Price Reduced Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2020-04-01,-19.35,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-05-01,-8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-06-01,4.35,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-07-01,4.17,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-08-01,8.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-09-01,-25.93,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-10-01,5.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-11-01,0.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2020-12-01,-42.86,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-01-01,-50.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-02-01,33.33,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-03-01,-37.5,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-04-01,-40.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-05-01,166.67,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-06-01,75.0,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-07-01,57.14,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-08-01,18.18,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-09-01,-11.54,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-10-01,17.39,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2021-11-01,-25.93,NE,"Lincoln, NE",Lincoln,"Housing Inventory: Price Reduced Count Month-Over-Month in Lincoln, NE (CBSA)",PRIREDCOUMM30700,Monthly,Not Seasonally Adjusted
2017-07-01,17.14,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2017-08-01,-9.76,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2017-09-01,-5.41,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2017-10-01,-8.57,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
2017-11-01,-21.88,WV,"Morgantown, WV",Morgantown,"Housing Inventory: Price Reduced Count Month-Over-Month in Morgantown, WV (CBSA)",PRIREDCOUMM34060,Monthly,Not Seasonally Adjusted
