date,All Employees: Government: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1995-03-01,6.969164233657451,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-04-01,7.09854729818418,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-05-01,6.97744940250667,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-06-01,7.151092843579661,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-07-01,7.15694841997555,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-08-01,6.87810986002444,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-09-01,7.13229507064906,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-10-01,7.02553226190881,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-11-01,7.044405158358799,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1995-12-01,7.102170249383709,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-01-01,7.366083192134191,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-02-01,7.376934548760801,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-03-01,7.367261646374379,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-04-01,7.40201442527743,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-05-01,7.3694329189051295,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-06-01,7.46010201737249,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-07-01,7.31520268226907,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-08-01,7.367030462989709,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-09-01,7.42245151725554,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-10-01,7.21858550366099,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-11-01,7.246615923915121,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1996-12-01,7.313002272468459,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-01-01,7.14448897228009,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-02-01,7.244260840683411,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1997-03-01,7.148472959483151,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
