date,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors",state,msa,city,title,id,frequency,seasonal_adjustment
1993-06-01,22.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1993-07-01,22.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1993-08-01,22.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1993-09-01,23.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1993-10-01,24.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1993-11-01,24.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1993-12-01,24.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-01-01,24.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-02-01,25.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-03-01,25.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-04-01,25.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-05-01,26.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-06-01,26.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-07-01,26.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-08-01,26.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-09-01,26.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-10-01,27.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-11-01,27.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1994-12-01,27.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-01-01,26.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-02-01,26.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-03-01,27.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-04-01,26.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-05-01,26.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-06-01,26.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-07-01,26.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-08-01,26.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-09-01,26.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-10-01,26.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-11-01,27.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1995-12-01,27.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-01-01,26.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-02-01,26.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-03-01,26.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-04-01,27.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-05-01,27.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-06-01,27.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1996-07-01,28.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
