date,All Employees: Service-Providing,state,msa,city,title,id,frequency,seasonal_adjustment
1993-02-01,26.5113633256185,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-03-01,26.179532791448498,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-04-01,26.243844135411,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-05-01,26.7968472989923,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-06-01,26.1262139034413,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-07-01,26.130927836318897,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-08-01,26.2007576569713,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-09-01,26.7656125462972,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-10-01,26.1970829515447,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-11-01,26.3288848029471,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1993-12-01,26.3042480994271,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-01-01,26.0275068757723,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-02-01,26.3776493672061,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-03-01,26.6915045057155,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-04-01,27.119169604190102,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-05-01,27.065463256092897,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-06-01,27.413594925831898,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1994-07-01,27.313865824180304,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
