date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
2017-01-01,10.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2018-01-01,9.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2019-01-01,10.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
2020-01-01,9.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001A,Annual,Not Seasonally Adjusted
1990-01-01,18.2,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1991-01-01,19.1,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1992-01-01,19.6,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1993-01-01,20.3,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1994-01-01,20.4,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1995-01-01,21.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1996-01-01,21.3,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1997-01-01,21.4,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1998-01-01,21.8,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1999-01-01,22.2,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2000-01-01,22.4,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2001-01-01,22.6,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2002-01-01,23.3,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2003-01-01,24.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2004-01-01,24.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2005-01-01,25.1,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2006-01-01,25.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2007-01-01,26.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2008-01-01,27.1,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2009-01-01,27.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2010-01-01,27.1,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2011-01-01,26.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2012-01-01,26.9,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2013-01-01,27.3,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2014-01-01,27.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2015-01-01,28.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2016-01-01,28.4,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2017-01-01,28.4,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2018-01-01,28.6,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2019-01-01,29.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
2020-01-01,28.7,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Local Government in Charleston-North Charleston, SC (MSA)",SMU45167009093000001A,Annual,Not Seasonally Adjusted
1990-01-01,6.5,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1991-01-01,6.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1992-01-01,6.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
1993-01-01,7.0,VA,"Charlottesville, VA",Charlottesville,"All Employees: Local Government in Charlottesville, VA (MSA)",SMU51168209093000001A,Annual,Not Seasonally Adjusted
