date,Housing Inventory: Price Increased Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2018-10-01,76.92,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2018-11-01,-30.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2018-12-01,-20.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-01-01,61.9,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-02-01,228.57,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-03-01,23.53,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-04-01,-65.85,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-05-01,-81.67,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-06-01,-75.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-07-01,-59.46,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-08-01,-36.11,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-09-01,33.33,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-10-01,73.91,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-11-01,35.71,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2019-12-01,25.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-01-01,-67.65,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-02-01,-78.26,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-03-01,-9.52,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-04-01,-7.14,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-05-01,200.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-06-01,260.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-07-01,153.33,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-08-01,56.52,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-09-01,-31.25,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-10-01,0.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-11-01,15.79,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2020-12-01,73.33,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-01-01,-18.18,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-02-01,-10.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-03-01,-42.11,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-04-01,-76.92,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-05-01,-78.79,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-06-01,-88.89,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-07-01,-84.21,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-08-01,-86.11,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-09-01,-68.18,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-10-01,-85.0,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2021-11-01,-31.82,GA,"Gainesville, GA",Gainesville,"Housing Inventory: Price Increased Count Year-Over-Year in Gainesville, GA (CBSA)",PRIINCCOUYY23580,Monthly,Not Seasonally Adjusted
2017-07-01,-3.67,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2017-08-01,-7.66,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2017-09-01,13.54,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2017-10-01,22.75,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2017-11-01,2.93,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2017-12-01,10.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-01-01,-8.56,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
2018-02-01,24.08,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"Housing Inventory: Price Increased Count Year-Over-Year in Houston-the Woodlands-Sugar Land, TX (CBSA)",PRIINCCOUYY26420,Monthly,Not Seasonally Adjusted
