date,All Employees: Transportation and Warehousing,state,msa,city,title,id,frequency,seasonal_adjustment
2001-01-01,62.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2002-01-01,60.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2003-01-01,60.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2004-01-01,58.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2005-01-01,58.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2006-01-01,57.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2007-01-01,57.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2008-01-01,54.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2009-01-01,47.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2010-01-01,48.7,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2011-01-01,51.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2012-01-01,53.7,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2013-01-01,55.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2014-01-01,58.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2015-01-01,60.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2016-01-01,62.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2017-01-01,64.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2018-01-01,70.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2019-01-01,77.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
2020-01-01,75.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Transportation and Warehousing in Detroit-Warren-Dearborn, MI (MSA)",SMU26198204340008901A,Annual,Not Seasonally Adjusted
1990-01-01,161.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-02-01,162.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-03-01,163.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-04-01,162.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-05-01,162.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-06-01,162,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-07-01,162.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-08-01,162.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-09-01,162.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-10-01,163.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-11-01,163,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1990-12-01,163.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-01-01,163.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-02-01,162.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
1991-03-01,163.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,"All Employees: Transportation and Warehousing in Los Angeles-Long Beach-Santa Ana, CA (MSA) (DISCONTINUED)",SMU06311004340008901SA,Monthly,Seasonally Adjusted
