date,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1992-10-01,2.60731500027579,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1992-11-01,2.60844821753135,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1992-12-01,2.56867227165984,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-01-01,2.5901639266849,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-02-01,2.55405822212053,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-03-01,2.5569402583922995,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-04-01,2.5563289469962798,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-05-01,2.59245310371268,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-06-01,2.6498383132459,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1993-07-01,2.67773314160104,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
