date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2021-02-01,1350.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-03-01,1223.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-04-01,1137.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-05-01,1094.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-06-01,1185.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-07-01,1371.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-08-01,1462.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-09-01,1477.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-10-01,1370.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2021-11-01,1283.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2016-07-01,1864.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
2016-08-01,1835.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Active Listing Count in Charlottesville, VA (CBSA)",ACTLISCOU16820,Monthly,Not Seasonally Adjusted
