date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2016-12-01,161.0762993,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-01-01,162.9526685,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-02-01,164.8755666,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-03-01,164.1124748,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-04-01,163.90625,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-05-01,163.1454195,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-06-01,161.9090324,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-07-01,161.4749686,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-08-01,160.8391943,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-09-01,160.71723,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-10-01,162.1409658,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2017-11-01,163.3589336,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
