date,"All Employees: Mining, Logging, and Construction",state,msa,city,title,id,frequency,seasonal_adjustment
1992-12-01,0.915721892989771,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-01-01,0.9318688940215759,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-02-01,0.8643395882468701,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-03-01,0.8507105031274821,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-04-01,0.8501604055804549,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-05-01,0.8958023726428861,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-06-01,0.7821429042754551,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-07-01,0.775952109010216,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-08-01,0.8148515294874319,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-09-01,0.820921683680602,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-10-01,0.834575185450027,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-11-01,0.868477937076706,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1993-12-01,0.9125005055937141,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-01-01,0.828033950151139,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-02-01,0.867361484958394,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-03-01,0.847072921797034,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-04-01,0.945715186203326,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-05-01,0.8964928682967259,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-06-01,0.987644564121989,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-07-01,0.980515418740845,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-08-01,0.9144524532843629,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-09-01,0.9157273584828391,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-10-01,0.9372855034082009,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-11-01,0.9650317328871859,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1994-12-01,1.01615605814911,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1995-01-01,1.03233931623677,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1995-02-01,0.965670641193361,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1995-03-01,1.04180271175099,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1995-04-01,0.942233589520405,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
1995-05-01,0.993912954273672,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Mining, Logging, and Construction in Bloomsburg-Berwick, PA (MSA)",SMU42141001500000001SA,Monthly,Seasonally Adjusted
