date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
1994-08-01,27.4808797599263,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-09-01,27.708521799746798,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-10-01,27.977991933334103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-11-01,27.6299172555902,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1994-12-01,27.402817279965202,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-01-01,27.6721739431676,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-02-01,27.780189737098,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-03-01,27.760993441626603,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-04-01,27.7880757826146,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-05-01,27.860288115180502,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-06-01,27.8038026427353,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-07-01,27.6073153576345,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-08-01,27.589784970804896,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
1995-09-01,27.7357139794526,NM,"Albuquerque, NM",Albuquerque,"All Employees: Manufacturing in Albuquerque, NM (MSA)",ALBU735MFG,Monthly,Seasonally Adjusted
