date,All Employees: Government: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1995-02-01,14.732289403466499,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-03-01,14.7969232323405,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-04-01,14.7353270476845,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-05-01,14.7861002036028,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-06-01,14.737072170003099,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-07-01,14.677943016977501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-08-01,14.693179201926501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-09-01,14.641523871289401,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-10-01,14.5539831380581,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-11-01,14.507542086865499,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1995-12-01,14.595421648667,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-01-01,14.6231903519178,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-02-01,14.5384804893552,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-03-01,14.509674661145999,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-04-01,14.419210853326302,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-05-01,14.277755466946301,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-06-01,14.240179515078498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-07-01,14.2105789672914,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-08-01,14.2207150188378,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-09-01,14.156480959302199,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-10-01,14.428341263501801,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-11-01,14.3860633681879,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1996-12-01,14.3668809271017,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-01-01,14.327553735805099,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-02-01,14.2533780191977,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-03-01,14.2218430699776,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-04-01,14.2037737108698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-05-01,14.282033658973901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-06-01,14.239304401352,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-07-01,14.124986648469699,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-08-01,14.0292600484853,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-09-01,14.075381062622302,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-10-01,14.0037754956238,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-11-01,13.954701976669499,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1997-12-01,13.9471163839694,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-01-01,14.243439908115,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-02-01,14.1742694225565,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-03-01,14.037466042916698,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-04-01,14.2006641952177,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-05-01,14.184314390087199,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-06-01,14.225029293774,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-07-01,14.237298565525,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-08-01,14.121014613484002,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-09-01,14.0866394333128,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-10-01,14.5893896615517,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-11-01,14.5368543646462,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1998-12-01,14.326281606610598,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-01-01,14.158683195962,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1999-02-01,13.9901112734056,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
