date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
2018-01-01,53354,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2019-01-01,55668,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
2020-01-01,58773,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Per Capita Personal Income in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013PCPI,Annual,Not Seasonally Adjusted
1969-01-01,3354,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1970-01-01,3649,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1971-01-01,3891,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1972-01-01,4171,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1973-01-01,4610,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1974-01-01,5387,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1975-01-01,5971,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1976-01-01,6811,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1977-01-01,7527,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1978-01-01,8304,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1979-01-01,9161,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1980-01-01,10151,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1981-01-01,11451,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1982-01-01,11942,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1983-01-01,12364,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1984-01-01,12879,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1985-01-01,13241,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1986-01-01,13531,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1987-01-01,13545,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1988-01-01,14464,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1989-01-01,15397,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1990-01-01,16175,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1991-01-01,17229,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1992-01-01,18272,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1993-01-01,18041,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1994-01-01,18695,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1995-01-01,19337,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1996-01-01,19873,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1997-01-01,21486,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1998-01-01,22726,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
1999-01-01,22605,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
2000-01-01,23884,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
2001-01-01,25012,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
2002-01-01,25423,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
2003-01-01,26475,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
2004-01-01,26837,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
2005-01-01,28403,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
2006-01-01,30864,TX,"Beaumont-Port Arthur, TX",Beaumont,"Per Capita Personal Income in Beaumont-Port Arthur, TX (MSA)",BEAU148PCPI,Annual,Not Seasonally Adjusted
