date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2019-10-01,137.3651961,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-11-01,137.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2019-12-01,137.34512,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-01-01,137.3032172,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-02-01,142.0602896,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-03-01,146.7162553,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-04-01,146.2128179,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-05-01,149.6305645,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-06-01,155.6589968,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-07-01,157.2596006,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-08-01,158.8124411,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-09-01,159.5983851,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-10-01,156.7944251,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-11-01,156.0286827,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2020-12-01,156.9006845,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-01-01,157.0952381,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-02-01,159.7544059,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-03-01,161.1800856,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-04-01,162.332294,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-05-01,166.5485471,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-06-01,169.9341707,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-07-01,169.9293665,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-08-01,173.9439039,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-09-01,175.0759508,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-10-01,176.9181991,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2021-11-01,178.4368825,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2016-07-01,105.4648437,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-08-01,105.5366211,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-09-01,105.9036017,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-10-01,105.9257812,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-11-01,105.7716956,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-12-01,105.4589844,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-01-01,105.6424279,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-02-01,107.0136719,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price per Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIPERSQUFEE12060,Monthly,Not Seasonally Adjusted
