date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2020-07-01,-8.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-08-01,-1.94,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-09-01,-0.23,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-10-01,-1.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-11-01,-1.7,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-12-01,-16.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-01-01,-19.98,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-02-01,-12.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-03-01,-5.01,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-04-01,-3.42,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
