date,All Employees: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1996-01-01,2.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
1997-01-01,2.7,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
1998-01-01,2.7,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
1999-01-01,2.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2000-01-01,2.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2001-01-01,2.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2002-01-01,3.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2003-01-01,3.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2004-01-01,3.3,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2005-01-01,3.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2006-01-01,3.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2007-01-01,2.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2008-01-01,2.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2009-01-01,2.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2010-01-01,2.4,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2011-01-01,2.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2012-01-01,2.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2013-01-01,2.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2014-01-01,2.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2015-01-01,2.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2016-01-01,2.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2017-01-01,2.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2018-01-01,2.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2019-01-01,2.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
2020-01-01,2.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: Federal Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409091000001A,Annual,Not Seasonally Adjusted
1990-01-01,10.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1991-01-01,10.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1992-01-01,10.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1993-01-01,10.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1994-01-01,10.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1995-01-01,10.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1996-01-01,10.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1997-01-01,10.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1998-01-01,10.3,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1999-01-01,10.0,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2000-01-01,9.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2001-01-01,9.4,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2002-01-01,9.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2003-01-01,9.0,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2004-01-01,9.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2005-01-01,9.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2006-01-01,9.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2007-01-01,8.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2008-01-01,9.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2009-01-01,8.9,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2010-01-01,9.7,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2011-01-01,9.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2012-01-01,8.7,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2013-01-01,8.6,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2014-01-01,8.8,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2015-01-01,9.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2016-01-01,9.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2017-01-01,9.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2018-01-01,9.1,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2019-01-01,9.2,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
2020-01-01,9.5,AL,"Birmingham-Hoover, AL",Birmingham,"All Employees: Federal Government in Birmingham-Hoover, AL (MSA)",SMU01138209091000001A,Annual,Not Seasonally Adjusted
1990-01-01,2.5,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1991-01-01,2.4,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1992-01-01,2.4,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1993-01-01,2.4,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1994-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
1995-01-01,2.6,WV,"Charleston, WV",Charleston,"All Employees: Federal Government in Charleston, WV (MSA)",SMU54166209091000001A,Annual,Not Seasonally Adjusted
