date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2021-07-01,368.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-08-01,408.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-09-01,452.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-10-01,336.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2021-11-01,252.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2016-07-01,17112.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2016-08-01,15936.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2016-09-01,15316.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2016-10-01,14532.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2016-11-01,11356.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2016-12-01,8772.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-01-01,9508.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-02-01,9784.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-03-01,10464.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-04-01,12168.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-05-01,12908.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-06-01,14428.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-07-01,15548.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-08-01,17204.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
2017-09-01,14820.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOU12060,Monthly,Not Seasonally Adjusted
