date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1997-01-01,6.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1998-01-01,5.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
1999-01-01,6.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2000-01-01,5.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2001-01-01,6.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2002-01-01,6.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2003-01-01,5.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2004-01-01,5.7,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2005-01-01,5.7,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2006-01-01,5.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2007-01-01,5.8,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2008-01-01,6.0,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2009-01-01,6.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2010-01-01,6.1,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2011-01-01,5.9,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2012-01-01,5.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
2013-01-01,5.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"All Employees: State Government in Beaumont-Port Arthur, TX (MSA)",SMU48131409092000001A,Annual,Not Seasonally Adjusted
