date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
2000-01-01,170.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2001-01-01,179.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2002-01-01,186.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2003-01-01,188.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2004-01-01,194.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2005-01-01,198.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2006-01-01,206.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2007-01-01,213.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2008-01-01,219.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2009-01-01,217.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2010-01-01,211.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2011-01-01,205.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2012-01-01,204.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2013-01-01,202.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2014-01-01,203.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2015-01-01,205.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2016-01-01,209.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2017-01-01,211.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2018-01-01,213.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
2019-01-01,214.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Local Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609093000001A,Annual,Not Seasonally Adjusted
