date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2019-10-01,2625.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-11-01,2443.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2019-12-01,2102.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-01-01,1791.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-02-01,1720.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-03-01,1671.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-04-01,1783.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-05-01,1676.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-06-01,1470.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-07-01,1343.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-08-01,1317.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-09-01,1314.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-10-01,1292.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-11-01,1270.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2020-12-01,1061.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2021-01-01,849.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
