date,Housing Inventory: Average Listing Price Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2021-03-01,2.59,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-04-01,3.24,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-05-01,2.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-06-01,-0.36,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-07-01,-1.32,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-08-01,2.07,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-09-01,2.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-10-01,2.88,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-11-01,1.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-07-01,-2.15,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-08-01,0.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-09-01,0.24,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-10-01,0.58,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-11-01,0.29,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-12-01,0.07,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-01-01,1.16,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-02-01,2.19,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-03-01,2.34,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-04-01,4.47,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-05-01,-0.47,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-06-01,-1.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-07-01,-1.97,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-08-01,-1.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-09-01,-2.05,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-10-01,0.01,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-11-01,1.09,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-12-01,-0.71,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-01-01,-0.84,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-02-01,1.17,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-03-01,1.42,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-04-01,0.83,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-05-01,0.92,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-06-01,-0.97,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-07-01,-0.87,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-08-01,-2.07,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-09-01,-0.83,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-10-01,0.26,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-11-01,1.58,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-12-01,0.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-01-01,-0.89,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-02-01,2.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-03-01,2.25,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-04-01,-2.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-05-01,2.93,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-06-01,3.87,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-07-01,4.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-08-01,2.47,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-09-01,2.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-10-01,0.63,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-11-01,-0.51,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-12-01,0.27,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-01-01,-0.45,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-02-01,3.31,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-03-01,0.35,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-04-01,1.98,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-05-01,2.27,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-06-01,-0.16,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-07-01,2.09,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-08-01,-2.57,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-09-01,-0.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-10-01,-0.49,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2021-11-01,0.53,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-07-01,-3.2,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2017-08-01,2.93,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2017-09-01,1.67,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2017-10-01,-0.5,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2017-11-01,0.29,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2017-12-01,1.88,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2018-01-01,0.09,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2018-02-01,5.16,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
2018-03-01,-3.71,TX,"Beaumont-Port Arthur, TX",Beaumont,"Housing Inventory: Average Listing Price Month-Over-Month in Beaumont-Port Arthur, TX (CBSA)",AVELISPRIMM13140,Monthly,Not Seasonally Adjusted
