date,"All Employees: Mining, Logging, and Construction",state,msa,city,title,id,frequency,seasonal_adjustment
1993-12-01,20.192612343249397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-01-01,20.581133885892697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-02-01,20.4630545632832,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-03-01,20.7867319503641,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-04-01,21.244896012379,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-05-01,20.993917859612697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-06-01,21.836872427224396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-07-01,22.349444067318302,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-08-01,22.604459138600003,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-09-01,22.8588798141926,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-10-01,23.0121456628756,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-11-01,23.6728890192801,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1994-12-01,24.362210777460604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-01-01,23.9101076997558,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-02-01,24.0660465459238,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-03-01,23.957429612463304,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-04-01,23.6167240304,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-05-01,23.646133328543602,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-06-01,24.029993448600504,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-07-01,22.9098977210956,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-08-01,23.2658312085704,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-09-01,23.5203963945236,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-10-01,22.4241595342944,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-11-01,22.658888830847697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1995-12-01,22.9474043329619,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-01-01,22.9690341973132,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-02-01,23.1841009191143,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-03-01,23.0453276268075,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-04-01,22.359498458301502,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-05-01,22.7036391959194,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
1996-06-01,22.4807829753544,NM,"Albuquerque, NM",Albuquerque,"All Employees: Mining, Logging, and Construction in Albuquerque, NM (MSA)",ALBU735NRMN,Monthly,Seasonally Adjusted
