date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2020-10-01,427544.3525,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-11-01,418239.0379,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2020-12-01,416080.4104,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-01-01,416382.5961,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-02-01,415464.6039,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-03-01,426240.4833,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-04-01,440047.9888,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-05-01,449031.2456,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-06-01,447395.5862,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-07-01,441467.7689,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-08-01,450610.5924,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-09-01,460184.8385,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-10-01,473454.9197,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2021-11-01,481209.1296,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2016-07-01,388666.157,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Average Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",AVELISPRI12060,Monthly,Not Seasonally Adjusted
